bodydearword.feature,bodyform.feature,bodyhtml.feature,bodymultipart.feature,bodynumchars.feature,bodynumfunctionwords.feature,bodynumuniqwords.feature,bodynumwords.feature,bodyrichness.feature,bodysuspensionword.feature,bodyverifyyouraccountphrase.feature,externalsabinary.feature,externalsascore.feature,scriptjavascript.feature,scriptonclick.feature,scriptpopup.feature,scriptstatuschange.feature,scriptunmodalload.feature,senddiffreplyto.feature,sendnumwords.feature,sendunmodaldomain.feature,subjectbankword.feature,subjectdebitword.feature,subjectfwdword.feature,subjectnumchars.feature,subjectnumwords.feature,subjectreplyword.feature,subjectrichness.feature,subjectverifyword.feature,urlatchar.feature,urlbaglink.feature,urlip.feature,urlnumdomains.feature,urlnumexternallink.feature,urlnumimagelink.feature,urlnuminternallink.feature,urlnumip.feature,urlnumlink.feature,urlnumperiods.feature,urlnumport.feature,urlport.feature,urltwodoains.feature,urlunmodalbaglink.feature,urlwordclicklink.feature,urlwordherelink.feature,urlwordloginlink.feature,urlwordupdatelink.feature,class
0,0,0,0,4522,0,374,931,0.205882,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,890,1,124,198,0.222472,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,3931,12,499,864,0.219791,0,0,0,3.5,0,0,0,0,0,1,0,0,0,0,0,37,6,0,0.162162,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,0,0,0,645,0,103,149,0.231008,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,471,0,76,97,0.205945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,3,0,0.130435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,0,0,0,10691,20,760,2093,0.195772,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,46,7,0,0.152174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,939,0,157,214,0.227902,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,230,0,40,47,0.204348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0.205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1187,9,153,238,0.200505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,3,0,0.130435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,4128,3,403,827,0.200339,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,27,8,0,0.296296,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,751,1,113,154,0.20506,0,0,0,2.6,0,0,0,0,0,1,3,1,0,0,0,30,8,0,0.266667,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
